TransactionID,Date,CustomerID,Gender,Age,ProductCategory,Quantity,PricePerUnit,TotalAmount
T001,2024-01-05,C001,Male,25,Electronics,1,45000,45000
T002,2024-01-06,C002,Female,32,Clothing,3,1200,3600
T003,2024-01-07,C003,Male,40,Grocery,10,150,1500
T004,2024-01-08,C004,Female,28,Electronics,1,38000,38000
T005,2024-01-10,C005,Male,35,Clothing,2,1500,3000
T006,2024-01-12,C006,Female,45,Grocery,15,100,1500
T007,2024-02-01,C007,Male,22,Electronics,1,55000,55000
T008,2024-02-02,C008,Female,29,Clothing,4,1000,4000
T009,2024-02-03,C009,Male,50,Grocery,20,80,1600
T010,2024-02-05,C010,Female,34,Electronics,1,42000,42000
T011,2024-02-06,C011,Male,27,Clothing,2,1300,2600
T012,2024-02-07,C012,Female,41,Grocery,18,120,2160
T013,2024-03-01,C013,Male,31,Electronics,1,60000,60000
T014,2024-03-02,C014,Female,24,Clothing,5,900,4500
T015,2024-03-03,C015,Male,46,Grocery,25,90,2250
T016,2024-03-05,C016,Female,37,Electronics,1,47000,47000
T017,2024-03-06,C017,Male,28,Clothing,3,1400,4200
T018,2024-03-07,C018,Female,52,Grocery,30,70,2100
T019,2024-04-01,C019,Male,33,Electronics,1,52000,52000
T020,2024-04-02,C020,Female,26,Clothing,4,1100,4400
